ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-17 20:00:00,88.41562882701695,-59.812253616474436,102.7861431611986,78.58753047775315,99.0845393249075,-66.27803836314399,-66.27803836314399,-66.27803836314399,-10.366207673424809,-10.366207673424809,-10.366207673424809,-8.447333545813795,-8.447333545813795,-8.447333545813795,-47.464497143905405,-47.464497143905405,-47.464497143905405,0.0,0.0,0.0,22.137590463872954
2025-08-17 21:00:00,88.41009876694955,-42.44182002423074,119.74016340884823,78.581361426383,99.08009783284447,-48.1671059511973,-48.1671059511973,-48.1671059511973,7.562179483408487,7.562179483408487,7.562179483408487,-8.419283023559172,-8.419283023559172,-8.419283023559172,-47.310002411046625,-47.310002411046625,-47.310002411046625,0.0,0.0,0.0,40.242992815752245
2025-08-17 22:00:00,88.40456870688216,-23.672760538365505,146.0029250180497,78.57519237501286,99.07565634078144,-33.84342752237837,-33.84342752237837,-33.84342752237837,21.653980855605752,21.653980855605752,21.653980855605752,-8.341279381951807,-8.341279381951807,-8.341279381951807,-47.156128996032315,-47.156128996032315,-47.156128996032315,0.0,0.0,0.0,54.56114118450379
2025-08-17 23:00:00,88.39903864681479,-16.146476913298937,151.3688291367864,78.56902332364272,99.07121484871844,-28.03158797779436,-28.03158797779436,-28.03158797779436,27.18625244159189,27.18625244159189,27.18625244159189,-8.214958942711771,-8.214958942711771,-8.214958942711771,-47.00288147667448,-47.00288147667448,-47.00288147667448,0.0,0.0,0.0,60.36745066902043
2025-08-18 00:00:00,88.39350858674739,-25.239220466450643,138.23256183236512,78.56285427227259,99.06677335665542,-29.82596258729618,-29.82596258729618,-29.82596258729618,25.066700000049515,25.066700000049515,25.066700000049515,-8.04239817888788,-8.04239817888788,-8.04239817888788,-46.85026440845781,-46.85026440845781,-46.85026440845781,0.0,0.0,0.0,58.56754599945121
2025-08-18 01:00:00,88.38797852667996,-29.321022562879623,135.4290140951112,78.55668522090241,99.06233186459235,-34.60917554331791,-34.60917554331791,-34.60917554331791,19.915193920147544,19.915193920147544,19.915193920147544,-7.826087138974813,-7.826087138974813,-7.826087138974813,-46.698282324490634,-46.698282324490634,-46.698282324490634,0.0,0.0,0.0,53.77880298336205
2025-08-18 02:00:00,88.38244846661259,-28.53664147576008,129.94487235657988,78.55051616953229,99.05789037252936,-38.57969346523519,-38.57969346523519,-38.57969346523519,15.536144667486093,15.536144667486093,15.536144667486093,-7.568898397681394,-7.568898397681394,-7.568898397681394,-46.546939735039885,-46.546939735039885,-46.546939735039885,0.0,0.0,0.0,49.8027550013774
2025-08-18 03:00:00,88.37691840654519,-35.265367564121,131.24521487553395,78.54434711816214,99.05344888046633,-41.507098232621026,-41.507098232621026,-41.507098232621026,12.163194814233822,12.163194814233822,12.163194814233822,-7.274051919402159,-7.274051919402159,-7.274051919402159,-46.39624112745268,-46.39624112745268,-46.39624112745268,0.0,0.0,0.0,46.86982017392416
2025-08-18 04:00:00,88.37138834647779,-34.068112247575016,124.87158533515228,78.53817806679199,99.04900738840331,-45.39596956164249,-45.39596956164249,-45.39596956164249,7.7952976726011896,7.7952976726011896,7.7952976726011896,-6.945076268283499,-6.945076268283499,-6.945076268283499,-46.24619096596019,-46.24619096596019,-46.24619096596019,0.0,0.0,0.0,42.9754187848353
2025-08-18 05:00:00,88.36585828641041,-46.45582821563121,115.80480852932666,78.53200901542188,99.0445658963403,-50.92989932061501,-50.92989932061501,-50.92989932061501,1.7526610116787753,1.7526610116787753,1.7526610116787753,-6.585766640950378,-6.585766640950378,-6.585766640950378,-46.09679369134341,-46.09679369134341,-46.09679369134341,0.0,0.0,0.0,37.43595896579541
2025-08-18 06:00:00,88.36032822634301,-44.48030729614966,111.2896173508954,78.52583996405173,99.04012440427728,-55.685983954255896,-55.685983954255896,-55.685983954255896,-3.537789999924478,-3.537789999924478,-3.537789999924478,-6.200140233635427,-6.200140233635427,-6.200140233635427,-45.948053720695995,-45.948053720695995,-45.948053720695995,0.0,0.0,0.0,32.67434427208712
