Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2025-07-05,52.10934759431948,47.114258097579985,42.86517963525348,39.592311692727506,35.291703705266016,29.280881590372175,23.98409594560144,22.952003885230653,27.120285569338733,33.2272183893359,36.20019293966142,33.330605221273046,26.234022673429507,18.7951222994336,13.30894594711097,8.791778642167912,3.1437338564120125,-3.2002571255591192,-6.179432617420147,-1.161805802113534,12.497469910264101,29.805259184992394,43.25363545401903,48.12409265673029
2025-07-06,45.328561848423206,39.49111091828692,34.420683702047555,30.355978912324588,25.301345327419966,18.58231373544777,12.630753428055783,11.004466320848536,14.645720813075371,20.29874934751578,22.89619472882103,19.73394049097982,12.431223662765632,4.875528848229692,-0.636190779645375,-5.0866592470508465,-10.575706129867172,-16.669280146367313,-19.308428822858758,-13.863885394427783,0.3055946176175439,18.2024305736648,32.31345587822297,37.91418725950635
2025-07-07,35.90990726992547,30.91743748475335,26.737957813076605,23.60197137994271,19.505290412910455,13.76466254203973,8.803024196790162,8.169193017572809,12.796500245314661,19.420385870187502,22.964940459030046,20.71782782203654,14.290485788029386,7.563102976365826,2.8259162055350515,-0.9098660222147146,-5.749430570264508,-11.263320607418109,-13.396371854364801,-7.522265773413281,6.998157506071379,25.166109716295978,39.468096580806574,45.18017969167983
2025-07-08,43.20904138733489,38.17373038370313,33.87844396640462,30.557446716267336,26.211001816317562,20.160935073159337,14.83581914267748,13.790590778955902,17.965103018078295,24.101636113722705,27.131352194886418,24.34912891077441,17.373670442301957,10.092394885764065,4.802643754536234,0.5225201227773226,-4.846560159641186,-10.868906534300308,-13.483561575924256,-8.058919388919932,6.04890342970225,23.84522811164223,37.82001406701343,43.25208785436641
2025-07-09,41.0501843792497,35.83467831744342,31.41036166278107,28.011367370133684,23.637115004013424,17.60789826988487,12.35010154703832,11.415857762297819,15.741648925835122,22.065872464842826,25.315357551912896,22.78026584623602,16.07427410765841,9.07953672151686,4.087972866334084,0.11218380526231897,-4.951916322428147,-10.674059629496341,-12.99855506172598,-7.298832235059933,7.06425846894561,25.09167248184208,39.269432155717226,44.872910211377494
2025-07-10,42.8079184249755,37.69247891423353,33.32963342727518,29.952390185008895,25.55968389133831,19.471968616315365,14.116430605521856,13.046633413504651,17.20109686753159,23.320833285221894,26.33582555827965,23.539882027863584,16.550766234309364,9.255100283423062,3.9495873564116977,-0.3481402916053753,-5.736963539293498,-11.781311255699208,-14.420168323189785,-9.0216975896751,5.0583822978635595,22.825947160015758,36.77165453628656,42.17515673877244
2025-07-11,39.94612356080982,34.70595291056736,30.26052560732637,26.845104650748056,22.46025525347474,16.427405908835254,11.17403802425116,10.253316877540158,14.602665641311532,20.961306030020225,24.256750180983303,21.779678581030282,15.144101884145172,8.232305000318732,3.336118525477687,-0.5321767292728055,-5.477228477093959,-11.069578175224436,-13.254594092113308,-7.407013920334904,7.11076014394429,25.29789678149102,39.63840922892365,45.40545496179016
2025-07-12,43.502444145428626,38.544834026348326,34.332964425707885,31.09703360639773,26.833089803322352,20.858657756491922,15.5979869087396,14.601733242694806,18.80557580937777,24.947790914365555,27.955768089312883,25.120902295523507,18.058759955951473,10.65401708055795,5.201714547748082,0.7181364365380176,-4.896604704022323,-11.207578488616576,-14.154024106590967,-9.103955593195977,4.5874728132890965,21.92712497349669,35.40707353851964,40.3088116909355
2025-07-13,37.54426975318779,31.73751490519919,26.69749029782632,22.66289398297107,17.638074102325035,10.948560830400709,5.026222871351251,3.4288615764086927,7.098744804811275,12.780104483721772,15.405582926581474,12.271063200488072,4.9957818919263275,-2.53277681326,-8.017660135240348,-12.441592469507142,-17.904403736253116,-23.972042973613185,-26.585558003116162,-21.11568233068627,-6.9211717235742185,11.000392957164337,25.13584491930864,30.76070071908056
2025-07-14,28.78024276155854,23.811292499569063,19.655029743997986,16.54195754700335,12.467888087676513,6.749568972728142,1.8099366317364627,1.197808732183546,5.8465165652296776,12.491500195942876,16.056850292581615,13.830230789325768,7.423079665036894,0.7155857138489381,-4.002014047322064,-7.718510891330283,-12.539091433163179,-18.034298568041606,-20.1489677184196,-14.256780023736653,0.28142473414418134,18.466858659926658,32.786027873750925,38.514994389552186
